,Metro area,Population,city,state,latitude,longitude
120,"Vallejo-Fairfield, CA MSA",445458,Vallejo,CA,38.11266842,-122.2393799
121,"Killeen-Temple, TX MSA",443773,Killeen,TX,31.0817126,-97.73918152
122,"Shreveport-Bossier City, LA MSA",440933,Shreveport,LA,32.4720738,-93.76831055
123,"Salinas, CA MSA",437907,Salinas,CA,36.68930067,-121.6378784
124,"Fort Wayne, IN MSA",434617,Fort Wayne,IN,41.1029727,-85.14953613
125,"Salem, OR MSA",424982,Salem,OR,44.93608052,-123.0180359
126,"Brownsville-Harlingen, TX MSA",423725,Brownsville,TX,25.94074785,-97.49061584
127,"Reading, PA MSA",417854,Reading,PA,40.33423352,-75.92720032
128,"Mobile, AL MSA",413955,Mobile,AL,30.67082832,-88.14605713
129,"Beaumont-Port Arthur, TX MSA",412437,Beaumont,TX,30.09032358,-94.1418457
130,"Manchester-Nashua, NH MSA",409697,Manchester,NH,42.98303965,-71.45507813
131,"Flint, MI MSA",407385,Flint,MI,43.00309451,-83.71925354
132,"Salisbury, MD-DE MSA",405853,Salisbury,MD,38.37337883,-75.58113098
133,"Anchorage, AK MSA",400888,Anchorage,AK,61.17686253,-149.8699951
134,"Canton-Massillon, OH MSA",399927,Canton,OH,40.81220438,-81.36611938
135,"Gulfport-Biloxi-Pascagoula, MS MSA",394232,Gulfport,MS,30.42850502,-89.06890869
136,"Savannah, GA MSA",387543,Savannah,GA,32.04878326,-81.10862732
137,"Fayetteville, NC MSA",386662,Fayetteville,NC,35.06143338,-78.93745422
138,"Tallahassee, FL MSA",382627,Tallahassee,FL,30.45692012,-84.27612305
139,"Davenport-Moline-Rock Island, IA-IL MSA",382263,Davenport,IA,41.5532512,-90.56785584
140,"Eugene, OR MSA",374748,Eugene,OR,44.05793926,-123.1031799
141,"Trenton, NJ MSA",374733,Trenton,NJ,40.21426455,-74.77123261
142,"Montgomery, AL MSA",373903,Montgomery,AL,32.35543571,-86.25778198
143,"Naples-Immokalee-Marco Island, FL MSA",372880,Naples,FL,26.16649481,-81.79527283
144,"Peoria, IL MSA",372427,Peoria,IL,40.74252922,-89.61685181
145,"Ann Arbor, MI MSA",367627,Ann Arbor,MI,42.27675465,-83.7412262
146,"Hickory-Lenoir-Morganton, NC MSA",366534,Hickory,NC,35.73755126,-81.32629395
147,"Huntington-Ashland, WV-KY-OH MSA",356474,Huntington,WV,38.41912132,-82.43247986
148,"Ocala, FL MSA",354353,Ocala,FL,29.17910337,-82.15301514
149,"Fort Collins, CO MSA",343976,Fort Collins,CO,40.550285,-105.0746155
150,"Kalamazoo-Portage, MI MSA",338338,Kalamazoo,MI,42.28335897,-85.60340881
151,"Rockford, IL MSA",338291,Rockford,IL,42.26913342,-89.04144287
152,"Spartanburg, SC MSA",334391,Spartanburg,SC,34.94275604,-81.92848206
153,"Lincoln, NE MSA",331519,Lincoln,NE,40.80908616,-96.68449402
154,"Boulder, CO MSA",322514,Boulder,CO,40.03177502,-105.2483368
155,"South Bend-Mishawaka, IN-MI MSA",321815,South Bend,IN,41.67683092,-86.26876831
156,"Green Bay, WI MSA",320050,Green Bay,WI,44.50380528,-88.02520752
157,"Lubbock, TX MSA",316983,Lubbock,TX,33.55279747,-101.8947601
158,"Evansville, IN-KY MSA",315669,Evansville,IN,37.98258872,-87.54112244
159,"Roanoke, VA MSA",314128,Roanoke,VA,37.27291539,-79.95918274
160,"Kingsport-Bristol-Bristol, TN-VA MSA",306659,Kingsport,TN,36.54821495,-82.54234314
161,"Greeley, CO MSA",304633,Greeley,CO,40.42795012,-104.7340393
162,"Columbus, GA-AL MSA",303811,Columbus,GA,32.49685398,-84.88861084
163,"Utica-Rome, NY MSA",293572,Utica,NY,43.09896588,-75.23506165
164,"Kennewick-Richland, WA MSA",290296,Kennewick,WA,46.21115368,-119.1824341
165,"Wilmington, NC MSA",288156,Wilmington,NC,34.22765689,-77.88551331
166,"Clarksville, TN-KY MSA",285042,Clarksville,TN,36.5686222,-87.34405518
167,"Gainesville, FL MSA",284687,Gainesville,FL,29.65579609,-82.36312866
168,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",283405,San Luis Obispo,CA,35.26859664,-120.6642151
169,"Fort Smith, AR-OK MSA",282086,Fort Smith,AR,35.348132,-94.3560791
170,"Olympia-Tumwater, WA MSA",280588,Olympia,WA,47.04013597,-122.8910065
171,"Duluth, MN-WI MSA",278782,Duluth,MN,46.75285004,-92.14645386
172,"Santa Cruz-Watsonville, CA MSA",275897,Santa Cruz,CA,36.97840984,-122.0278931
173,"Laredo, TX MSA",274794,Laredo,TX,27.54963876,-99.48120117
174,"Erie, PA MSA",274541,Erie,PA,42.09664788,-80.0958252
175,"Merced, CA MSA",272673,Merced,CA,37.30900292,-120.4798508
176,"Crestview-Fort Walton Beach-Destin, FL MSA",271346,Crestview,FL,30.74831706,-86.56745911
177,"Cedar Rapids, IA MSA",270293,Cedar Rapids,IA,41.98650022,-91.66648865
178,"Atlantic City-Hammonton, NJ MSA",269918,Atlantic City,NJ,39.3767266,-74.45297241
179,"Norwich-New London, CT MSA",269033,Norwich,CT,41.53067259,-72.08576202
180,"Waco, TX MSA",268696,Waco,TX,31.54573012,-97.15827942
181,"Bremerton-Silverdale, WA MSA",266414,Bremerton,WA,47.58991111,-122.6465607
182,"Hagerstown-Martinsburg, MD-WV MSA",265498,Hagerstown,MD,39.63952619,-77.7299881
183,"Amarillo, TX MSA",264925,Amarillo,TX,35.2039368,-101.7979431
184,"Danbury, CT MSA",264621,Danbury,CT,41.3999445,-73.47518921
185,"Lynchburg, VA MSA",261254,Lynchburg,VA,37.39575596,-79.17778015
186,"Sioux Falls, SD MSA",259094,Sioux Falls,SD,43.533072,-96.73599243
